feeder,substation,voltage,summerrating,peakampscurr,pctratingcurr,peakampslast,pctratinglast,loadcurvehist,loadcurvefor,amp_rating_bin
36_01_12466,124 ALMEDA AVE,"4,16",209,"149,67",71.61,"143,117",68.48,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12466.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12466.csv,201-300
36_01_12467,124 ALMEDA AVE,"4,16",333,"277,33",83.28,"280,173",84.14,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12467.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12467.csv,301-400
36_01_12468,124 ALMEDA AVE,"4,16",320,"125,33",39.17,"132,083",41.28,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12468.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12468.csv,301-400
36_01_12471,124 ALMEDA AVE,"4,16",321,"1,33",0.41,"1,237",0.39,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12471.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12471.csv,301-400
36_01_12472,124 ALMEDA AVE,"4,16",303,"229,33",75.69,"257,667",85.04,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12472.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12472.csv,301-400
36_01_12473,124 ALMEDA AVE,"4,16",304,"111,33",36.62,"116,1",38.19,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12473.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12473.csv,301-400
36_01_12475,124 ALMEDA AVE,"4,16",321,"203,67",63.45,"206,58",64.36,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12475.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12475.csv,301-400
36_01_12476,124 ALMEDA AVE,"4,16",334,"113,33",33.93,"137,863",41.28,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12476.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12476.csv,301-400
36_01_12477,124 ALMEDA AVE,"4,16",330,"5,67",1.72,"5,663",1.72,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12477.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12477.csv,301-400
36_01_12661,126 STATION 126,"4,16",386,230,59.59,"254,093",65.83,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12661.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12661.csv,301-400
36_01_12662,126 STATION 126,"4,16",266,"191,33",71.93,"194,877",73.26,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12662.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12662.csv,201-300
36_01_12663,126 STATION 126,"4,16",266,"229,67",86.34,"200,873",75.52,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12663.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12663.csv,201-300
36_01_12664,126 STATION 126,"4,16",266,"169,33",63.66,"182,94",68.77,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12664.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12664.csv,201-300
36_01_12761,127 DELAWARE ROAD,"4,16",298,"171,33",57.49,"157,463",52.84,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12761.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12761.csv,201-300
36_01_12762,127 DELAWARE ROAD,"4,16",295,"22,67",7.68,"21,983",7.45,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12762.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12762.csv,201-300
36_01_12764,127 DELAWARE ROAD,"4,16",295,"213,33",72.32,"203,397",68.95,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12764.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12764.csv,201-300
36_01_12765,127 DELAWARE ROAD,"4,16",292,"173,67",59.48,"143,257",49.06,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12765.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12765.csv,201-300
36_01_12766,127 DELAWARE ROAD,"4,16",295,125,42.37,"131,247",44.49,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12766.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12766.csv,201-300
36_01_12962,129 BROMPTON,"4,16",344,"303,67",88.28,"309,3",89.91,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12962.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12962.csv,301-400
36_01_12963,129 BROMPTON,"4,16",320,"239,33",74.79,"237,503",74.22,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12963.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12963.csv,301-400
36_01_12964,129 BROMPTON,"4,16",320,"205,67",64.27,"215,767",67.43,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12964.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12964.csv,301-400
36_01_12973,129 BROMPTON,"4,16",320,48,15,"45,35",14.17,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12973.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12973.csv,301-400
36_01_12974,129 BROMPTON,"4,16",342,"282,33",82.55,"285,813",83.57,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12974.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12974.csv,301-400
36_01_12975,129 BROMPTON,"4,16",310,237,76.45,"236,717",76.36,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12975.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12975.csv,301-400
36_01_12976,129 BROMPTON,"4,16",320,"143,67",44.9,"140,687",43.96,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_12976.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_12976.csv,301-400
36_01_13051,130 NIAGARA FALLS BLVD,"13,2",410,150,36.59,"144,07",35.14,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13051.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13051.csv,401-500
36_01_13052,130 NIAGARA FALLS BLVD,"13,2",361,"167,67",46.45,"174,097",48.23,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13052.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13052.csv,301-400
36_01_13053,130 NIAGARA FALLS BLVD,"13,2",348,"265,33",76.24,"239,16",68.72,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13053.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13053.csv,301-400
36_01_13054,130 NIAGARA FALLS BLVD,"13,2",368,"49,67",13.5,"102,223",27.78,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13054.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13054.csv,301-400
36_01_13055,130 NIAGARA FALLS BLVD,"13,2",410,"222,33",54.23,"242,68",59.19,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13055.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13055.csv,401-500
36_01_13056,130 NIAGARA FALLS BLVD,"13,2",361,"238,67",66.11,"153,073",42.4,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13056.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13056.csv,301-400
36_01_13057,130 NIAGARA FALLS BLVD,"13,2",348,67,19.25,"68,987",19.82,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13057.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13057.csv,301-400
36_01_13058,130 NIAGARA FALLS BLVD,"13,2",368,94,25.54,"96,203",26.14,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13058.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13058.csv,301-400
36_01_13261,132 BUELL AVE,"4,8",266,100,37.59,100,37.59,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13261.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13261.csv,201-300
36_01_13961,139 MARTIN RD,"4,16",402,"283,33",70.48,"278,187",69.2,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13961.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13961.csv,401-500
36_01_13962,139 MARTIN RD,"4,16",402,"202,67",50.42,"203,62",50.65,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13962.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13962.csv,401-500
36_01_13971,139 MARTIN RD,"4,16",402,356,88.56,"375,51",93.41,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13971.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13971.csv,401-500
36_01_13972,139 MARTIN RD,"4,16",402,116,28.86,"114,79",28.55,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_13972.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_13972.csv,401-500
36_01_14051,140 MAPLE RD,"13,2",344,"131,33",38.18,"133,747",38.88,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14051.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14051.csv,301-400
36_01_14052,140 MAPLE RD,"13,2",321,"204,67",63.76,"210,35",65.53,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14052.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14052.csv,301-400
36_01_14053,140 MAPLE RD,"13,2",353,"294,67",83.48,"209,077",59.23,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14053.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14053.csv,301-400
36_01_14055,140 MAPLE RD,"13,2",381,"216,33",56.78,"216,683",56.87,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14055.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14055.csv,301-400
36_01_14056,140 MAPLE RD,"13,2",321,"69,33",21.6,"72,663",22.64,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14056.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14056.csv,301-400
36_01_14057,140 MAPLE RD,"13,2",321,"246,33",76.74,"258,367",80.49,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14057.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14057.csv,301-400
36_01_14058,140 MAPLE RD,"13,2",389,119,30.59,"118,967",30.58,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14058.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14058.csv,301-400
36_01_14269,142 LEHIGH AVE,"4,16",376,"100,67",26.77,"96,563",25.68,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14269.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14269.csv,301-400
36_01_14271,142 LEHIGH AVE,"4,16",379,"120,67",31.84,"118,947",31.38,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14271.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14271.csv,301-400
36_01_14272,142 LEHIGH AVE,"4,16",351,153,43.59,"150,06",42.75,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14272.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14272.csv,301-400
36_01_14273,142 LEHIGH AVE,"4,16",360,"25,67",7.13,"24,837",6.9,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14273.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14273.csv,301-400
36_01_14651,146 WALDEN AVE.,"13,2",241,"76,67",31.81,65,26.97,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_14651.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_14651.csv,201-300
36_01_15466,154 GEORGE URBAN,"4,16",435,"166,67",38.31,"266,333",61.23,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_15466.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_15466.csv,401-500
36_01_15467,154 GEORGE URBAN,"4,16",435,"293,33",67.43,"122,02",28.05,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_15467.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_15467.csv,401-500
36_01_15468,154 GEORGE URBAN,"4,16",435,350,80.46,"317,3",72.94,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_15468.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_15468.csv,401-500
36_01_15561,155 ROBERTS,"4,16",329,"106,67",32.42,"224,333",68.19,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_15561.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_15561.csv,301-400
36_01_15562,155 ROBERTS,"4,16",350,20,5.71,"216,03",61.72,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_15562.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_15562.csv,301-400
36_01_15564,155 ROBERTS,"4,16",329,"146,67",44.58,"225,333",68.49,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_15564.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_15564.csv,301-400
36_01_16061,160 SUMMER ST.,"4,16",343,120,34.99,"101,313",29.54,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16061.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16061.csv,301-400
36_01_16062,160 SUMMER ST.,"4,16",310,140,45.16,"113,847",36.72,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16062.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16062.csv,301-400
36_01_16063,160 SUMMER ST.,"4,16",343,"70,67",20.6,"70,567",20.57,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16063.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16063.csv,301-400
36_01_16065,160 SUMMER ST.,"4,16",266,"164,67",61.91,"174,027",65.42,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16065.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16065.csv,201-300
36_01_16066,160 SUMMER ST.,"4,16",266,"159,67",60.03,"171,017",64.29,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16066.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16066.csv,201-300
36_01_16069,160 SUMMER ST.,"4,16",266,"111,67",41.98,"116,743",43.89,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16069.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16069.csv,201-300
36_01_16161,161 SHORT STREET,"4,16",301,"166,67",55.37,"166,667",55.37,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16161.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16161.csv,301-400
36_01_16162,161 SHORT STREET,"4,16",331,"293,33",88.62,"293,333",88.62,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16162.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16162.csv,301-400
36_01_16163,161 SHORT STREET,"4,16",266,100,37.59,100,37.59,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16163.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16163.csv,201-300
36_01_16164,161 SHORT STREET,"4,16",343,"106,67",31.1,"106,667",31.1,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16164.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16164.csv,301-400
36_01_16165,161 SHORT STREET,"4,16",302,20,6.62,20,6.62,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16165.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16165.csv,301-400
36_01_16166,161 SHORT STREET,"4,16",294,"146,67",49.89,"146,667",49.89,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16166.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16166.csv,201-300
36_01_16167,161 SHORT STREET,"4,16",266,120,45.11,120,45.11,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16167.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16167.csv,201-300
36_01_16168,161 SHORT STREET,"4,16",295,140,47.46,140,47.46,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_16168.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_16168.csv,201-300
36_01_20553,205 ERIE DRIVE,"13,2",313,"46,67",14.91,50,15.97,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20553.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20553.csv,301-400
36_01_20651,206 TONAWANDA CREEK,"13,2",359,"215,67",60.08,"180,22",50.2,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20651.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20651.csv,301-400
36_01_20652,206 TONAWANDA CREEK,"13,2",355,72,20.28,"70,95",19.99,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20652.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20652.csv,301-400
36_01_20653,206 TONAWANDA CREEK,"13,2",500,"241,67",48.33,"371,58",74.32,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20653.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20653.csv,401-500
36_01_20654,206 TONAWANDA CREEK,"13,2",367,"227,33",61.94,232,63.22,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20654.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20654.csv,301-400
36_01_20655,206 TONAWANDA CREEK,"13,2",450,352,78.22,"344,09",76.46,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20655.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20655.csv,401-500
36_01_20656,206 TONAWANDA CREEK,"13,2",330,"89,33",27.07,"96,61",29.28,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20656.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20656.csv,301-400
36_01_20751,207 SLADE AVE,"13,2",215,5,2.33,"28,967",13.47,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20751.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20751.csv,201-300
36_01_20862,208 STATION 208,"4,16",307,"145,33",47.34,"162,53",52.94,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20862.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20862.csv,301-400
36_01_20863,208 STATION 208,"4,16",347,"226,67",65.32,"221,477",63.83,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20863.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20863.csv,301-400
36_01_20865,208 STATION 208,"4,16",347,"31,67",9.13,"31,253",9.01,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20865.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20865.csv,301-400
36_01_20867,208 STATION 208,"4,16",347,"218,67",63.02,"215,01",61.96,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20867.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20867.csv,301-400
36_01_20870,208 STATION 208,"4,16",266,"129,33",48.62,"140,987",53,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20870.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20870.csv,201-300
36_01_20871,208 STATION 208,"4,16",347,215,61.96,"233,293",67.23,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_20871.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_20871.csv,301-400
36_01_21150,211 AYER RD,"13,2",390,"47,33",12.14,"46,65",11.96,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_21150.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_21150.csv,301-400
36_01_21151,211 AYER RD,"13,2",384,191,49.74,"197,2",51.35,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_21151.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_21151.csv,301-400
36_01_21152,211 AYER RD,"13,2",384,"105,33",27.43,"94,13",24.51,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_21152.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_21152.csv,301-400
36_01_21153,211 AYER RD,"13,2",388,299,77.06,"136,203",35.1,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_21153.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_21153.csv,301-400
36_01_21155,211 AYER RD,"13,2",355,"205,33",57.84,"211,42",59.55,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_21155.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_21155.csv,301-400
36_01_21156,211 AYER RD,"13,2",467,"255,67",54.75,"235,313",50.39,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_21156.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_21156.csv,401-500
36_01_21157,211 AYER RD,"13,2",409,211,51.59,"204,583",50.02,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_21157.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_21157.csv,401-500
36_01_21252,212 HARBOR FRONT,"13,2",374,"53,33",14.26,74,19.79,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_21252.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_21252.csv,301-400
36_01_21253,212 HARBOR FRONT,"13,2",374,120,32.09,"256,667",68.63,https://systemdataportal.nationalgrid.com/NY/documents/historicalloadcurve//36_01_21253.xlsx,https://systemdataportal.nationalgrid.com/NY/documents/forecastloadcurve/36_01_21253.csv,301-400
